,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
669,32.1,0.25,0.4044,0.1746,0.1061,0.807,2.213,3.813,602.089,0.250,16.960,2.872,0.55,107660.,23000
670,36.1,0.28,0.4424,0.1692,0.1057,0.805,2.205,3.695,600.022,0.249,16.435,2.793,0.55,107814.,23000
671,40.1,0.31,0.4782,0.1633,0.1049,0.798,2.188,3.567,595.306,0.247,15.864,2.717,0.55,107985.,23000
672,44.2,0.34,0.5124,0.1567,0.1033,0.786,2.155,3.423,586.400,0.243,15.224,2.647,0.55,108174.,23000
673,48.2,0.37,0.5447,0.1498,0.1014,0.771,2.114,3.271,575.210,0.239,14.551,2.580,0.55,108381.,23000
674,52.2,0.40,0.5770,0.1428,0.0989,0.752,2.062,3.120,561.014,0.233,13.876,2.522,0.55,108606.,23000
675,56.2,0.43,0.6050,0.1355,0.0963,0.733,2.009,2.960,546.730,0.227,13.167,2.456,0.55,108848.,23000
676,60.2,0.46,0.6309,0.1280,0.0935,0.712,1.950,2.796,530.625,0.220,12.437,2.390,0.55,109107.,23000
677,64.2,0.49,0.6540,0.1203,0.0904,0.688,1.885,2.627,512.940,0.213,11.685,2.323,0.55,109383.,23000
678,68.2,0.52,0.6742,0.1123,0.0870,0.662,1.814,2.453,493.662,0.205,10.910,2.254,0.55,109677.,23000
679,72.2,0.55,0.6916,0.1041,0.0832,0.634,1.736,2.274,472.413,0.196,10.116,2.184,0.56,109987.,23000
680,76.3,0.58,0.7062,0.0958,0.0791,0.602,1.650,2.091,449.058,0.186,9.302,2.112,0.56,110315.,23000
681,80.3,0.61,0.7175,0.0871,0.0746,0.568,1.556,1.903,423.406,0.176,8.466,2.039,0.56,110658.,23000
682,84.3,0.64,0.7250,0.0783,0.0697,0.530,1.454,1.711,395.545,0.164,7.610,1.962,0.56,111019.,23000
683,88.3,0.68,0.7277,0.0693,0.0644,0.490,1.342,1.514,365.316,0.152,6.734,1.880,0.56,111395.,23000
684,92.3,0.71,0.7242,0.0601,0.0587,0.446,1.223,1.313,332.905,0.138,5.842,1.789,0.56,111788.,23000
685,96.3,0.74,0.7112,0.0506,0.0525,0.399,1.095,1.106,297.857,0.124,4.919,1.684,0.56,112197.,23000
686,100.3,0.77,0.6837,0.0409,0.0460,0.350,0.959,0.894,260.948,0.108,3.977,1.554,0.56,112622.,23000
687,104.4,0.80,0.6310,0.0310,0.0392,0.298,0.817,0.676,222.390,0.092,3.008,1.379,0.56,113062.,23000
688,108.4,0.83,0.5355,0.0209,0.0323,0.246,0.674,0.456,183.322,0.076,2.026,1.127,0.57,113518.,23000
689,112.4,0.86,0.3566,0.0104,0.0250,0.190,0.522,0.227,141.991,0.059,1.008,0.724,0.57,113989.,23000
690,116.4,0.89,-0.0023,0.0000,0.0177,0.135,0.369,-0.001,100.352,0.042,-0.004,-0.005,0.57,114475.,23000
691,0.0,0.00,0.0000,0.2033,0.0996,0.861,2.261,4.835,642.042,0.255,21.504,3.415,0.57,111735.,24000
692,4.2,0.03,0.0611,0.2016,0.1016,0.878,2.306,4.794,654.844,0.261,21.325,3.321,0.57,111744.,24000
693,8.4,0.06,0.1188,0.1993,0.1032,0.892,2.344,4.739,665.467,0.265,21.080,3.230,0.57,111773.,24000
694,12.6,0.09,0.1734,0.1965,0.1046,0.904,2.375,4.672,674.283,0.268,20.782,3.143,0.57,111821.,24000
695,16.8,0.12,0.2250,0.1932,0.1057,0.914,2.399,4.594,681.299,0.271,20.435,3.059,0.57,111887.,24000
696,21.0,0.15,0.2737,0.1895,0.1065,0.921,2.418,4.506,686.589,0.273,20.043,2.977,0.57,111973.,24000
697,25.2,0.18,0.3197,0.1853,0.1070,0.925,2.430,4.407,690.030,0.275,19.604,2.897,0.57,112077.,24000
698,29.4,0.22,0.3629,0.1808,0.1073,0.927,2.435,4.299,691.583,0.275,19.120,2.819,0.57,112201.,24000
699,33.6,0.25,0.4046,0.1759,0.1070,0.925,2.429,4.182,689.776,0.274,18.602,2.750,0.57,112343.,24000
700,37.8,0.28,0.4429,0.1704,0.1065,0.921,2.419,4.053,686.953,0.273,18.026,2.676,0.57,112504.,24000
701,41.9,0.31,0.4791,0.1645,0.1056,0.913,2.398,3.911,681.011,0.271,17.398,2.605,0.57,112683.,24000
702,46.1,0.34,0.5137,0.1578,0.1040,0.899,2.361,3.753,670.387,0.267,16.694,2.539,0.57,112881.,24000
703,50.3,0.37,0.5463,0.1508,0.1019,0.881,2.315,3.587,657.290,0.262,15.955,2.475,0.58,113098.,24000
704,54.5,0.40,0.5767,0.1437,0.0996,0.861,2.262,3.416,642.408,0.256,15.196,2.412,0.58,113333.,24000
705,58.7,0.43,0.6049,0.1363,0.0970,0.839,2.203,3.241,625.641,0.249,14.416,2.350,0.58,113586.,24000
706,62.9,0.46,0.6310,0.1287,0.0941,0.814,2.137,3.061,606.910,0.241,13.614,2.287,0.58,113857.,24000
707,67.1,0.49,0.6543,0.1209,0.0909,0.786,2.065,2.875,586.465,0.233,12.789,2.224,0.58,114147.,24000
708,71.3,0.52,0.6745,0.1129,0.0875,0.757,1.987,2.684,564.301,0.225,11.939,2.157,0.58,114454.,24000
709,75.5,0.55,0.6921,0.1046,0.0837,0.724,1.901,2.488,539.818,0.215,11.067,2.091,0.58,114779.,24000
710,79.7,0.58,0.7067,0.0962,0.0795,0.688,1.806,2.287,512.958,0.204,10.174,2.022,0.58,115121.,24000
711,83.9,0.62,0.7181,0.0875,0.0750,0.648,1.703,2.081,483.578,0.192,9.258,1.952,0.58,115481.,24000
712,88.1,0.65,0.7256,0.0787,0.0700,0.606,1.590,1.870,451.555,0.180,8.319,1.879,0.58,115858.,24000
713,92.3,0.68,0.7282,0.0695,0.0646,0.559,1.467,1.653,416.631,0.166,7.354,1.800,0.58,116253.,24000
714,96.5,0.71,0.7246,0.0603,0.0588,0.509,1.336,1.433,379.349,0.151,6.373,1.713,0.59,116664.,24000
715,100.7,0.74,0.7115,0.0507,0.0526,0.455,1.194,1.205,339.107,0.135,5.361,1.612,0.59,117092.,24000
716,104.9,0.77,0.6833,0.0409,0.0460,0.398,1.045,0.972,296.628,0.118,4.323,1.486,0.59,117536.,24000
717,109.1,0.80,0.6312,0.0310,0.0392,0.339,0.891,0.736,253.003,0.101,3.275,1.320,0.59,117997.,24000
718,113.3,0.83,0.5333,0.0207,0.0322,0.279,0.732,0.492,207.849,0.083,2.189,1.074,0.59,118474.,24000
719,117.5,0.86,0.3531,0.0102,0.0250,0.216,0.567,0.244,161.058,0.064,1.083,0.686,0.59,118967.,24000
720,121.6,0.89,-0.0027,-0.0001,0.0178,0.154,0.405,-0.001,114.953,0.046,-0.006,-0.005,0.59,119475.,24000
721,0.0,0.00,0.0000,0.2046,0.1007,0.984,2.480,5.279,733.584,0.280,23.482,3.264,0.59,116391.,25000
722,4.4,0.03,0.0607,0.2031,0.1027,1.004,2.532,5.241,748.857,0.286,23.313,3.175,0.60,116400.,25000
