,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
0,0.0,0.0,0.0,0.2778,0.1959,2.238,0.004180438833333321,0.364754204,100.0,4x4E-3
1,0.402336,0.04,0.0579,0.2774,0.1993,2.984,0.004180438833333321,0.360305982,100.0,4x4E-3
2,0.8493759999999999,0.08,0.1137,0.2767,0.2028,2.984,0.004293423666666654,0.360305982,100.0,4x4E-3
3,1.251712,0.12,0.1672,0.276,0.2062,2.984,0.004406408499999987,0.360305982,100.0,4x4E-3
4,1.6987519999999998,0.17,0.2184,0.275,0.2097,2.984,0.004406408499999987,0.360305982,100.0,4x4E-3
5,2.101088,0.21,0.2675,0.2737,0.213,2.984,0.00451939333333332,0.35585776,100.0,4x4E-3
6,2.548128,0.25,0.3144,0.2719,0.2161,2.984,0.00451939333333332,0.35585776,100.0,4x4E-3
7,2.9504639999999998,0.29,0.3591,0.2695,0.2187,2.984,0.004632378166666653,0.351409538,100.0,4x4E-3
8,3.3975039999999996,0.33,0.4018,0.2658,0.2203,2.984,0.004632378166666653,0.346961316,100.0,4x4E-3
9,3.79984,0.37,0.4425,0.2603,0.2204,2.984,0.004632378166666653,0.338064872,100.0,4x4E-3
10,4.24688,0.42,0.4817,0.2511,0.217,2.984,0.004632378166666653,0.329168428,100.0,4x4E-3
11,4.649216,0.46,0.5188,0.2409,0.2127,2.984,0.00451939333333332,0.315823762,100.0,4x4E-3
12,5.096256,0.5,0.553,0.2306,0.2083,2.984,0.004406408499999987,0.30247909600000006,100.0,4x4E-3
13,5.498592,0.54,0.5849,0.2201,0.2037,2.984,0.004293423666666654,0.28913443000000005,100.0,4x4E-3
14,5.9009279999999995,0.58,0.6142,0.2093,0.1986,2.984,0.004180438833333321,0.271341542,100.0,4x4E-3
15,6.347968,0.62,0.6408,0.198,0.193,2.238,0.004067453999999988,0.25799687600000004,100.0,4x4E-3
16,6.750304,0.67,0.6649,0.1864,0.1867,2.238,0.003954469166666656,0.24465221,100.0,4x4E-3
17,7.197344,0.71,0.6864,0.1744,0.1798,2.238,0.0038414843333333224,0.226859322,100.0,4x4E-3
18,7.59968,0.75,0.7054,0.162,0.1721,2.238,0.003615514666666656,0.21351465600000002,100.0,4x4E-3
19,8.04672,0.79,0.7216,0.1493,0.1637,2.238,0.0035025298333333232,0.195721768,100.0,4x4E-3
20,8.449055999999999,0.83,0.7347,0.1361,0.1543,2.238,0.0032765601666666574,0.17792888,100.0,4x4E-3
21,8.896096,0.87,0.7443,0.1226,0.144,2.238,0.0030505904999999912,0.160135992,100.0,4x4E-3
22,9.298432,0.92,0.7498,0.1086,0.1326,1.492,0.0028246208333333254,0.14234310400000003,100.0,4x4E-3
