,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
46,1.922272,0.46,0.6606,0.0794,0.0548,0.0,0.000338954499999999,0.026689332000000003,33.333333333333336,5x3
47,2.056384,0.48,0.6776,0.074,0.0529,0.0,0.000338954499999999,0.026689332000000003,33.333333333333336,5x3
48,2.190496,0.51,0.6917,0.0685,0.0508,0.0,0.000338954499999999,0.02224111,33.333333333333336,5x3
49,2.2799039999999997,0.54,0.7028,0.0628,0.0484,0.0,0.000338954499999999,0.02224111,33.333333333333336,5x3
50,2.414016,0.57,0.7108,0.057,0.0457,0.0,0.000338954499999999,0.02224111,33.333333333333336,5x3
51,2.548128,0.6,0.7155,0.051,0.0427,0.0,0.000338954499999999,0.017792888000000003,33.333333333333336,5x3
52,2.6375360000000003,0.63,0.716,0.045,0.0394,0.0,0.000225969666666666,0.017792888000000003,33.333333333333336,5x3
53,2.771648,0.66,0.7109,0.0387,0.0357,0.0,0.000225969666666666,0.013344666000000002,33.333333333333336,5x3
54,2.90576,0.68,0.698,0.0324,0.0317,0.0,0.000225969666666666,0.013344666000000002,33.333333333333336,5x3
55,2.995168,0.71,0.6725,0.026,0.0276,0.0,0.000225969666666666,0.008896444000000002,33.333333333333336,5x3
56,3.12928,0.74,0.6245,0.0195,0.0232,0.0,0.000112984833333333,0.008896444000000002,33.333333333333336,5x3
57,3.263392,0.77,0.5381,0.0131,0.0187,0.0,0.000112984833333333,0.004448222000000001,33.333333333333336,5x3
58,3.3975039999999996,0.8,0.3742,0.0066,0.014,0.0,0.000112984833333333,0.004448222000000001,33.333333333333336,5x3
59,3.486912,0.83,-0.0068,-0.0001,0.0092,0.0,0.000112984833333333,0.0,33.333333333333336,5x3
60,0.0,0.0,0.0,0.1272,0.0592,0.0,0.000903878666666664,0.10230910600000001,50.0,5x3
61,0.178816,0.03,0.06,0.1262,0.0598,0.0,0.001016863499999997,0.10230910600000001,50.0,5x3
62,0.357632,0.06,0.1178,0.125,0.0604,0.0,0.001016863499999997,0.097860884,50.0,5x3
63,0.5364479999999999,0.09,0.1733,0.1237,0.0609,0.0,0.001016863499999997,0.097860884,50.0,5x3
