,Velocity (m/s),J (Adv Ratio),Pe,Ct,Cp,PWR (W),Torque (N/m),Thrust (N),Frequency (Hz),Model
45,1.78816,0.42,0.6435,0.0739,0.048,0.0,0.000338954499999999,0.026689332000000003,33.333333333333336,5x3E
46,1.8775680000000001,0.45,0.6626,0.0694,0.0466,0.0,0.000338954499999999,0.026689332000000003,33.333333333333336,5x3E
47,2.01168,0.47,0.6788,0.0647,0.0451,0.0,0.000338954499999999,0.02224111,33.333333333333336,5x3E
48,2.101088,0.5,0.6925,0.0599,0.0434,0.0,0.000338954499999999,0.02224111,33.333333333333336,5x3E
49,2.2352,0.53,0.7041,0.055,0.0413,0.0,0.000338954499999999,0.017792888000000003,33.333333333333336,5x3E
50,2.369312,0.56,0.7136,0.05,0.039,0.0,0.000225969666666666,0.017792888000000003,33.333333333333336,5x3E
51,2.45872,0.58,0.7205,0.0449,0.0364,0.0,0.000225969666666666,0.017792888000000003,33.333333333333336,5x3E
52,2.592832,0.61,0.7245,0.0397,0.0335,0.0,0.000225969666666666,0.013344666000000002,33.333333333333336,5x3E
53,2.7269439999999996,0.64,0.7262,0.0343,0.0302,0.0,0.000225969666666666,0.013344666000000002,33.333333333333336,5x3E
54,2.8163519999999997,0.67,0.7223,0.0288,0.0267,0.0,0.000225969666666666,0.008896444000000002,33.333333333333336,5x3E
55,2.9504639999999998,0.7,0.7081,0.0233,0.0229,0.0,0.000112984833333333,0.008896444000000002,33.333333333333336,5x3E
56,3.084576,0.72,0.6773,0.0176,0.0188,0.0,0.000112984833333333,0.004448222000000001,33.333333333333336,5x3E
57,3.173984,0.75,0.6139,0.0118,0.0144,0.0,0.000112984833333333,0.004448222000000001,33.333333333333336,5x3E
58,3.308096,0.78,0.4714,0.006,0.01,0.0,0.000112984833333333,0.0,33.333333333333336,5x3E
59,3.3975039999999996,0.81,0.0159,0.0001,0.0062,0.0,0.0,0.0,33.333333333333336,5x3E
60,0.0,0.0,0.0,0.1141,0.0503,0.0,0.000790893833333331,0.08896444,50.0,5x3E
61,0.178816,0.03,0.062,0.1131,0.0508,0.0,0.000790893833333331,0.08896444,50.0,5x3E
62,0.357632,0.06,0.1215,0.1119,0.0513,0.0,0.000790893833333331,0.08896444,50.0,5x3E
63,0.5364479999999999,0.08,0.1786,0.1105,0.0517,0.0,0.000790893833333331,0.08896444,50.0,5x3E
64,0.715264,0.11,0.2331,0.1088,0.052,0.0,0.000790893833333331,0.084516218,50.0,5x3E
65,0.89408,0.14,0.285,0.1069,0.0522,0.0,0.000790893833333331,0.084516218,50.0,5x3E
66,1.0728959999999998,0.17,0.3342,0.1047,0.0524,0.0,0.000790893833333331,0.084516218,50.0,5x3E
67,1.251712,0.19,0.3806,0.1023,0.0524,0.0,0.000790893833333331,0.080067996,50.0,5x3E
68,1.430528,0.22,0.4242,0.0995,0.0523,0.0,0.000790893833333331,0.080067996,50.0,5x3E
69,1.609344,0.25,0.4648,0.0966,0.0521,0.0,0.000790893833333331,0.07561977400000001,50.0,5x3E
70,1.78816,0.28,0.5023,0.0934,0.0518,0.0,0.000790893833333331,0.07561977400000001,50.0,5x3E
71,1.966976,0.31,0.5368,0.09,0.0514,0.0,0.000790893833333331,0.07117155200000001,50.0,5x3E
72,2.101088,0.33,0.5682,0.0864,0.0508,0.0,0.000790893833333331,0.06672333,50.0,5x3E
73,2.2799039999999997,0.36,0.5964,0.0825,0.0501,0.0,0.000790893833333331,0.06672333,50.0,5x3E
74,2.45872,0.39,0.6216,0.0783,0.0491,0.0,0.000790893833333331,0.062275108,50.0,5x3E
75,2.6375360000000003,0.42,0.6436,0.0738,0.0479,0.0,0.000790893833333331,0.057826886,50.0,5x3E
76,2.8163519999999997,0.45,0.6627,0.0693,0.0466,0.0,0.000790893833333331,0.053378664000000006,50.0,5x3E
77,2.995168,0.47,0.6789,0.0646,0.0451,0.0,0.000677908999999998,0.053378664000000006,50.0,5x3E
78,3.173984,0.5,0.6926,0.0599,0.0433,0.0,0.000677908999999998,0.048930442,50.0,5x3E
79,3.3528,0.53,0.7042,0.055,0.0413,0.0,0.000677908999999998,0.04448222,50.0,5x3E
80,3.531616,0.56,0.7138,0.0501,0.0391,0.0,0.000677908999999998,0.040033998,50.0,5x3E
81,3.7104320000000004,0.58,0.7207,0.0449,0.0365,0.0,0.000564924166666665,0.035585776000000006,50.0,5x3E
82,3.889248,0.61,0.7246,0.0396,0.0335,0.0,0.000564924166666665,0.031137554,50.0,5x3E
83,4.068064,0.64,0.7262,0.0342,0.0302,0.0,0.000451939333333332,0.026689332000000003,50.0,5x3E
84,4.24688,0.67,0.7221,0.0287,0.0266,0.0,0.000451939333333332,0.02224111,50.0,5x3E
85,4.425696,0.7,0.7076,0.0232,0.0228,0.0,0.000338954499999999,0.017792888000000003,50.0,5x3E
86,4.604512000000001,0.72,0.6765,0.0175,0.0188,0.0,0.000338954499999999,0.013344666000000002,50.0,5x3E
87,4.783328,0.75,0.6134,0.0118,0.0144,0.0,0.000225969666666666,0.008896444000000002,50.0,5x3E
88,4.9621439999999994,0.78,0.4632,0.0059,0.0099,0.0,0.000112984833333333,0.004448222000000001,50.0,5x3E
89,5.14096,0.81,-0.0027,0.0,0.0064,0.0,0.000112984833333333,0.0,50.0,5x3E
90,0.0,0.0,0.0,0.1142,0.0503,0.746,0.001468802833333329,0.160135992,66.66666666666667,5x3E
91,0.22352,0.03,0.0619,0.1131,0.0508,0.746,0.001468802833333329,0.160135992,66.66666666666667,5x3E
92,0.491744,0.06,0.1213,0.1119,0.0513,0.746,0.001468802833333329,0.160135992,66.66666666666667,5x3E
93,0.715264,0.08,0.1783,0.1105,0.0517,0.746,0.001468802833333329,0.15568777000000003,66.66666666666667,5x3E
94,0.9387840000000001,0.11,0.2327,0.1089,0.052,0.746,0.001468802833333329,0.15568777000000003,66.66666666666667,5x3E
95,1.162304,0.14,0.2845,0.107,0.0522,0.746,0.001468802833333329,0.15123954800000003,66.66666666666667,5x3E
96,1.430528,0.17,0.3337,0.1048,0.0524,0.746,0.001468802833333329,0.14679132600000003,66.66666666666667,5x3E
97,1.654048,0.19,0.3801,0.1023,0.0524,0.746,0.001468802833333329,0.14679132600000003,66.66666666666667,5x3E
98,1.8775680000000001,0.22,0.4236,0.0996,0.0523,0.746,0.001468802833333329,0.14234310400000003,66.66666666666667,5x3E
