,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
329,42.4,0.45,0.2294,0.0032,0.0062,0.039,0.226,0.080,29.363,0.025,0.356,1.235,0.40,102091.,11000
330,43.9,0.47,-0.0011,0.0000,0.0049,0.031,0.178,0.000,23.129,0.020,-0.001,-0.006,0.40,102223.,11000
331,0.0,0.00,0.0000,0.0601,0.0235,0.193,1.015,1.808,144.111,0.115,8.044,5.692,0.43,109377.,12000
332,1.7,0.02,0.0409,0.0596,0.0235,0.193,1.014,1.793,144.013,0.115,7.973,5.646,0.43,109380.,12000
333,3.3,0.03,0.0810,0.0589,0.0235,0.193,1.013,1.774,143.827,0.114,7.891,5.595,0.43,109388.,12000
334,5.0,0.05,0.1204,0.0582,0.0234,0.192,1.010,1.753,143.434,0.114,7.797,5.543,0.43,109400.,12000
335,6.6,0.06,0.1590,0.0575,0.0233,0.192,1.007,1.729,142.906,0.114,7.691,5.488,0.43,109418.,12000
336,8.3,0.08,0.1966,0.0566,0.0232,0.191,1.002,1.703,142.203,0.113,7.573,5.431,0.43,109442.,12000
337,9.9,0.10,0.2333,0.0556,0.0231,0.189,0.995,1.673,141.287,0.112,7.440,5.370,0.43,109470.,12000
338,11.6,0.11,0.2689,0.0545,0.0229,0.188,0.988,1.640,140.251,0.112,7.296,5.304,0.43,109503.,12000
339,13.2,0.13,0.3033,0.0533,0.0227,0.186,0.979,1.604,138.973,0.111,7.135,5.235,0.43,109542.,12000
340,14.9,0.15,0.3364,0.0519,0.0224,0.184,0.967,1.563,137.340,0.109,6.953,5.162,0.43,109585.,12000
341,16.5,0.16,0.3682,0.0505,0.0222,0.182,0.955,1.521,135.635,0.108,6.764,5.085,0.43,109634.,12000
342,18.2,0.18,0.3986,0.0490,0.0218,0.179,0.941,1.474,133.627,0.106,6.557,5.004,0.43,109688.,12000
343,19.8,0.19,0.4274,0.0473,0.0214,0.176,0.924,1.423,131.225,0.104,6.330,4.919,0.43,109747.,12000
344,21.5,0.21,0.4545,0.0454,0.0210,0.172,0.904,1.366,128.371,0.102,6.078,4.828,0.43,109811.,12000
345,23.1,0.23,0.4795,0.0433,0.0204,0.168,0.880,1.303,124.962,0.099,5.797,4.730,0.43,109880.,12000
346,24.8,0.24,0.5018,0.0408,0.0197,0.162,0.850,1.229,120.691,0.096,5.468,4.620,0.43,109954.,12000
347,26.4,0.26,0.5217,0.0383,0.0190,0.156,0.817,1.152,116.013,0.092,5.123,4.503,0.43,110033.,12000
