,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR.1,Torque.1,Thrust.1,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
1051,0.0,0.00,0.0000,0.0890,0.0499,0.585,1.024,2.297,436.037,0.116,10.215,2.389,0.71,142261.,36000
1052,4.0,0.02,0.0345,0.0885,0.0601,0.705,1.235,2.285,525.873,0.139,10.162,1.970,0.71,142268.,36000
1053,8.0,0.05,0.0825,0.0890,0.0505,0.593,1.038,2.297,442.044,0.117,10.218,2.357,0.71,142289.,36000
1054,12.0,0.07,0.1055,0.0886,0.0590,0.692,1.212,2.287,516.264,0.137,10.174,2.010,0.71,142325.,36000
1055,16.0,0.09,0.1423,0.0887,0.0584,0.685,1.198,2.289,510.480,0.135,10.181,2.034,0.71,142374.,36000
1056,20.0,0.12,0.1802,0.0888,0.0577,0.677,1.185,2.291,504.561,0.134,10.189,2.059,0.71,142437.,36000
1057,23.9,0.14,0.2190,0.0889,0.0570,0.669,1.171,2.293,498.567,0.132,10.199,2.086,0.71,142514.,36000
1058,27.9,0.16,0.2586,0.0890,0.0564,0.661,1.158,2.296,493.197,0.131,10.211,2.111,0.71,142605.,36000
1059,31.9,0.19,0.2992,0.0891,0.0558,0.654,1.145,2.298,487.680,0.129,10.222,2.137,0.72,142710.,36000
1060,35.9,0.21,0.3452,0.0892,0.0545,0.639,1.119,2.302,476.467,0.126,10.240,2.192,0.72,142829.,36000
1061,39.9,0.23,0.3856,0.0893,0.0542,0.636,1.113,2.304,474.255,0.126,10.249,2.204,0.72,142962.,36000
1062,43.9,0.26,0.4241,0.0893,0.0543,0.636,1.114,2.305,474.559,0.126,10.253,2.203,0.72,143109.,36000
1063,47.9,0.28,0.4593,0.0893,0.0546,0.641,1.122,2.305,477.950,0.127,10.251,2.187,0.72,143269.,36000
1064,51.9,0.30,0.4916,0.0892,0.0553,0.648,1.135,2.303,483.295,0.128,10.242,2.161,0.72,143444.,36000
1065,55.9,0.33,0.5238,0.0890,0.0557,0.653,1.144,2.297,487.226,0.129,10.215,2.138,0.72,143632.,36000
1066,59.9,0.35,0.5508,0.0852,0.0543,0.637,1.115,2.198,475.104,0.126,9.777,2.099,0.72,143833.,36000
1067,63.9,0.37,0.5759,0.0799,0.0520,0.610,1.068,2.063,454.862,0.121,9.175,2.057,0.72,144049.,36000
1068,67.9,0.40,0.5986,0.0746,0.0496,0.582,1.019,1.925,433.910,0.115,8.562,2.012,0.72,144277.,36000
1069,71.8,0.42,0.6175,0.0691,0.0472,0.553,0.968,1.783,412.504,0.109,7.931,1.960,0.72,144520.,36000
1070,75.8,0.44,0.6340,0.0635,0.0445,0.522,0.914,1.637,389.474,0.103,7.284,1.907,0.72,144775.,36000
1071,79.8,0.47,0.6478,0.0577,0.0417,0.489,0.857,1.489,364.837,0.097,6.623,1.851,0.72,145044.,36000
1072,83.8,0.49,0.6584,0.0518,0.0387,0.454,0.794,1.337,338.345,0.090,5.945,1.792,0.72,145327.,36000
1073,87.8,0.52,0.6649,0.0458,0.0355,0.416,0.728,1.181,310.115,0.082,5.252,1.727,0.72,145622.,36000
1074,91.8,0.54,0.6652,0.0396,0.0321,0.376,0.658,1.022,280.456,0.074,4.545,1.653,0.72,145930.,36000
1075,95.8,0.56,0.6595,0.0333,0.0284,0.333,0.583,0.859,248.210,0.066,3.822,1.570,0.73,146252.,36000
1076,99.8,0.59,0.6370,0.0269,0.0247,0.290,0.507,0.693,215.979,0.057,3.084,1.456,0.73,146586.,36000
1077,103.8,0.61,0.5894,0.0203,0.0210,0.246,0.430,0.524,183.337,0.049,2.329,1.296,0.73,146934.,36000
1078,107.8,0.63,0.4963,0.0136,0.0174,0.204,0.356,0.352,151.802,0.040,1.564,1.050,0.73,147294.,36000
1079,111.8,0.66,0.3200,0.0068,0.0140,0.164,0.287,0.176,122.230,0.032,0.783,0.653,0.73,147667.,36000
1080,115.8,0.68,-0.0035,-0.0001,0.0107,0.126,0.220,-0.001,93.880,0.025,-0.006,-0.007,0.73,148052.,36000
1081,0.0,0.00,0.0000,0.0890,0.0474,0.603,1.028,2.427,449.819,0.116,10.794,2.447,0.73,146213.,37000
1082,4.1,0.02,0.0436,0.0890,0.0479,0.610,1.039,2.427,454.637,0.117,10.794,2.421,0.73,146220.,37000
1083,8.2,0.05,0.0847,0.0890,0.0492,0.627,1.068,2.426,467.550,0.121,10.790,2.353,0.73,146242.,37000
1084,12.3,0.07,0.1260,0.0890,0.0497,0.632,1.077,2.426,471.592,0.122,10.793,2.334,0.73,146278.,37000
1085,16.4,0.09,0.1690,0.0891,0.0494,0.629,1.072,2.428,469.185,0.121,10.802,2.348,0.73,146329.,37000
1086,20.5,0.12,0.2060,0.0891,0.0507,0.645,1.099,2.429,481.227,0.124,10.803,2.289,0.73,146394.,37000
1087,24.6,0.14,0.2479,0.0891,0.0505,0.644,1.096,2.430,479.927,0.124,10.808,2.296,0.73,146473.,37000
1088,28.7,0.16,0.2859,0.0889,0.0510,0.649,1.106,2.423,484.186,0.125,10.780,2.270,0.73,146567.,37000
1089,32.8,0.19,0.3199,0.0890,0.0521,0.664,1.131,2.426,495.095,0.128,10.789,2.222,0.74,146675.,37000
1090,36.9,0.21,0.3573,0.0894,0.0527,0.672,1.144,2.436,500.794,0.129,10.834,2.206,0.74,146797.,37000
1091,41.0,0.23,0.3941,0.0893,0.0531,0.676,1.152,2.435,504.204,0.130,10.829,2.190,0.74,146934.,37000
1092,45.1,0.26,0.4281,0.0894,0.0538,0.685,1.167,2.435,510.717,0.132,10.832,2.163,0.74,147085.,37000
1093,49.3,0.28,0.4636,0.0894,0.0542,0.690,1.176,2.436,514.635,0.133,10.836,2.147,0.74,147250.,37000
1094,53.4,0.30,0.4948,0.0893,0.0550,0.700,1.193,2.435,522.048,0.135,10.829,2.115,0.74,147429.,37000
1095,57.5,0.33,0.5240,0.0886,0.0554,0.706,1.202,2.414,526.335,0.136,10.736,2.080,0.74,147623.,37000
1096,61.6,0.35,0.5490,0.0864,0.0553,0.704,1.200,2.356,525.279,0.136,10.477,2.034,0.74,147830.,37000
1097,65.7,0.37,0.5735,0.0811,0.0530,0.675,1.150,2.210,503.235,0.130,9.831,1.992,0.74,148052.,37000
1098,69.8,0.40,0.5961,0.0757,0.0506,0.644,1.097,2.064,480.384,0.124,9.180,1.949,0.74,148287.,37000
1099,73.9,0.42,0.6157,0.0701,0.0480,0.611,1.041,1.911,455.894,0.118,8.499,1.901,0.74,148536.,37000
1100,78.0,0.45,0.6327,0.0644,0.0453,0.577,0.983,1.755,430.234,0.111,7.808,1.851,0.74,148799.,37000
1101,82.1,0.47,0.6471,0.0585,0.0424,0.540,0.919,1.596,402.465,0.104,7.097,1.798,0.74,149076.,37000
1102,86.2,0.49,0.6586,0.0526,0.0393,0.500,0.852,1.433,372.804,0.096,6.372,1.743,0.74,149366.,37000
1103,90.3,0.52,0.6676,0.0465,0.0359,0.457,0.778,1.266,340.486,0.088,5.632,1.687,0.74,149670.,37000
1104,94.4,0.54,0.6692,0.0402,0.0323,0.412,0.702,1.095,307.154,0.079,4.870,1.617,0.74,149988.,37000
1105,98.5,0.56,0.6619,0.0338,0.0287,0.365,0.622,0.921,272.436,0.070,4.095,1.533,0.75,150318.,37000
1106,102.6,0.59,0.6392,0.0272,0.0249,0.318,0.541,0.742,236.881,0.061,3.301,1.421,0.75,150662.,37000
1107,106.7,0.61,0.5933,0.0205,0.0211,0.268,0.457,0.559,200.070,0.052,2.488,1.268,0.75,151020.,37000
1108,110.8,0.63,0.5003,0.0137,0.0174,0.221,0.377,0.374,164.947,0.043,1.666,1.030,0.75,151390.,37000
1109,114.9,0.66,0.3235,0.0069,0.0140,0.178,0.303,0.188,132.573,0.034,0.835,0.642,0.75,151773.,37000
1110,119.0,0.68,-0.0045,-0.0001,0.0108,0.137,0.234,-0.002,102.380,0.026,-0.009,-0.009,0.75,152170.,37000
1111,0.0,0.00,0.0000,0.0881,0.0671,0.926,1.536,2.531,690.651,0.174,11.260,1.662,0.75,150165.,38000
1112,4.2,0.02,0.0314,0.0881,0.0659,0.909,1.507,2.533,677.590,0.170,11.267,1.696,0.75,150172.,38000
1113,8.4,0.05,0.0633,0.0881,0.0653,0.901,1.494,2.534,671.786,0.169,11.272,1.711,0.75,150195.,38000
1114,12.7,0.07,0.0960,0.0882,0.0646,0.891,1.478,2.536,664.729,0.167,11.279,1.730,0.75,150232.,38000
1115,16.9,0.09,0.1298,0.0883,0.0638,0.880,1.459,2.538,655.945,0.165,11.289,1.755,0.75,150284.,38000
1116,21.1,0.12,0.1648,0.0884,0.0629,0.867,1.438,2.540,646.568,0.162,11.299,1.782,0.75,150351.,38000
1117,25.3,0.14,0.2491,0.0891,0.0503,0.694,1.151,2.562,517.500,0.130,11.395,2.245,0.75,150432.,38000
1118,29.5,0.16,0.2388,0.0886,0.0609,0.840,1.392,2.546,626.054,0.157,11.326,1.845,0.75,150529.,38000
1119,33.7,0.19,0.2768,0.0887,0.0601,0.829,1.375,2.550,618.091,0.155,11.342,1.871,0.76,150640.,38000
