,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
48,4.8,0.28,0.4911,0.0315,0.0180,0.000,0.006,0.012,0.226,0.001,0.052,23.443,0.07,12770.,3000
49,5.1,0.30,0.4998,0.0294,0.0174,0.000,0.006,0.011,0.220,0.001,0.049,22.530,0.07,12781.,3000
50,5.3,0.31,0.5036,0.0268,0.0167,0.000,0.006,0.010,0.210,0.001,0.044,21.507,0.07,12792.,3000
51,5.6,0.33,0.5028,0.0251,0.0165,0.000,0.006,0.009,0.208,0.001,0.042,20.401,0.07,12804.,3000
52,5.9,0.35,0.5031,0.0222,0.0153,0.000,0.005,0.008,0.193,0.001,0.037,19.442,0.07,12817.,3000
53,6.2,0.36,0.4966,0.0198,0.0145,0.000,0.005,0.007,0.182,0.001,0.033,18.316,0.07,12830.,3000
54,6.5,0.38,0.4837,0.0175,0.0137,0.000,0.005,0.007,0.173,0.001,0.029,17.064,0.07,12844.,3000
55,6.7,0.40,0.4516,0.0144,0.0126,0.000,0.004,0.005,0.159,0.001,0.024,15.268,0.07,12858.,3000
56,7.0,0.41,0.4130,0.0117,0.0117,0.000,0.004,0.004,0.147,0.000,0.019,13.403,0.07,12873.,3000
57,7.3,0.43,0.3522,0.0087,0.0106,0.000,0.004,0.003,0.133,0.000,0.014,10.990,0.07,12889.,3000
58,7.6,0.45,0.2755,0.0059,0.0096,0.000,0.003,0.002,0.121,0.000,0.010,8.279,0.07,12905.,3000
59,7.9,0.46,0.1625,0.0030,0.0086,0.000,0.003,0.001,0.109,0.000,0.005,4.709,0.07,12922.,3000
60,8.2,0.48,-0.0086,-0.0001,0.0075,0.000,0.003,0.000,0.095,0.000,0.000,-0.241,0.07,12939.,3000
61,0.0,0.00,0.0000,0.0672,0.0294,0.001,0.019,0.044,0.877,0.002,0.197,22.968,0.10,16908.,4000
62,0.4,0.02,0.0384,0.0654,0.0283,0.001,0.018,0.043,0.844,0.002,0.192,23.213,0.10,16908.,4000
63,0.8,0.03,0.0748,0.0640,0.0284,0.001,0.018,0.042,0.848,0.002,0.188,22.614,0.10,16909.,4000
64,1.1,0.05,0.1109,0.0626,0.0281,0.001,0.018,0.041,0.839,0.002,0.184,22.371,0.10,16911.,4000
65,1.5,0.07,0.1447,0.0603,0.0277,0.001,0.017,0.040,0.826,0.002,0.177,21.890,0.10,16914.,4000
66,1.9,0.08,0.1869,0.0595,0.0264,0.001,0.017,0.039,0.788,0.002,0.175,22.611,0.10,16918.,4000
67,2.3,0.10,0.2146,0.0571,0.0265,0.001,0.017,0.038,0.791,0.002,0.168,21.635,0.10,16923.,4000
68,2.6,0.12,0.2554,0.0550,0.0250,0.001,0.016,0.036,0.746,0.002,0.161,22.078,0.10,16928.,4000
69,3.0,0.13,0.2805,0.0532,0.0252,0.001,0.016,0.035,0.752,0.002,0.156,21.212,0.10,16934.,4000
