,V,J,Pe,Ct,Cp,PWR,Torque,Thrust,PWR,Torque,Thrust,THR/PWR,Mach,Reyn,RPM
0,(mph),(Adv_Ratio),-,-,-,(Hp),(In-Lbf),(Lbf),(W),(N-m),(N),(g/W),-,-,RPM
48,10.4,0.61,0.6393,0.1237,0.1180,0.004,0.141,0.103,3.344,0.016,0.460,14.024,0.07,21847.,2000
49,11.0,0.65,0.6540,0.1145,0.1131,0.004,0.135,0.096,3.205,0.015,0.426,13.551,0.07,21930.,2000
50,11.6,0.68,0.6663,0.1052,0.1077,0.004,0.129,0.088,3.051,0.015,0.391,13.078,0.07,22017.,2000
51,12.2,0.72,0.6753,0.0956,0.1016,0.004,0.122,0.080,2.880,0.014,0.356,12.593,0.07,22109.,2000
52,12.8,0.75,0.6807,0.0859,0.0951,0.004,0.114,0.072,2.694,0.013,0.319,12.089,0.07,22205.,2000
53,13.5,0.79,0.6816,0.0759,0.0879,0.003,0.105,0.063,2.490,0.012,0.282,11.555,0.07,22305.,2000
54,14.1,0.83,0.6769,0.0657,0.0801,0.003,0.096,0.055,2.270,0.011,0.244,10.976,0.07,22410.,2000
55,14.7,0.86,0.6645,0.0553,0.0717,0.003,0.086,0.046,2.031,0.010,0.206,10.326,0.07,22518.,2000
56,15.3,0.90,0.6400,0.0447,0.0626,0.002,0.075,0.037,1.775,0.008,0.166,9.548,0.07,22631.,2000
57,15.9,0.93,0.5946,0.0338,0.0531,0.002,0.064,0.028,1.504,0.007,0.126,8.530,0.07,22747.,2000
58,16.5,0.97,0.5115,0.0228,0.0431,0.002,0.052,0.019,1.221,0.006,0.085,7.065,0.07,22868.,2000
59,17.1,1.00,0.3538,0.0115,0.0326,0.001,0.039,0.010,0.923,0.004,0.043,4.713,0.07,22992.,2000
60,17.7,1.04,-0.0005,0.0000,0.0215,0.001,0.026,0.000,0.608,0.003,0.000,-0.007,0.08,23120.,2000
61,0.0,0.00,0.0000,0.2125,0.1164,0.015,0.314,0.400,11.128,0.035,1.778,16.295,0.11,31725.,3000
62,0.9,0.04,0.0635,0.2115,0.1194,0.015,0.322,0.398,11.423,0.036,1.770,15.800,0.11,31729.,3000
63,1.8,0.07,0.1232,0.2102,0.1224,0.016,0.330,0.395,11.707,0.037,1.759,15.317,0.11,31740.,3000
64,2.8,0.11,0.1791,0.2083,0.1252,0.016,0.337,0.392,11.971,0.038,1.743,14.849,0.11,31758.,3000
65,3.7,0.14,0.2316,0.2060,0.1276,0.016,0.344,0.387,12.206,0.039,1.723,14.395,0.11,31784.,3000
66,4.6,0.18,0.2807,0.2030,0.1298,0.017,0.350,0.382,12.410,0.039,1.699,13.958,0.11,31817.,3000
67,5.5,0.22,0.3266,0.1995,0.1315,0.017,0.354,0.375,12.577,0.040,1.669,13.535,0.11,31857.,3000
68,6.4,0.25,0.3694,0.1955,0.1329,0.017,0.358,0.368,12.710,0.040,1.636,13.124,0.11,31905.,3000
69,7.3,0.29,0.4093,0.1909,0.1339,0.017,0.361,0.359,12.804,0.041,1.598,12.723,0.11,31959.,3000
70,8.3,0.32,0.4462,0.1858,0.1344,0.017,0.362,0.349,12.857,0.041,1.555,12.329,0.11,32021.,3000
71,9.2,0.36,0.4800,0.1800,0.1345,0.017,0.363,0.339,12.868,0.041,1.506,11.937,0.11,32091.,3000
72,10.1,0.39,0.5109,0.1737,0.1342,0.017,0.362,0.327,12.832,0.041,1.453,11.549,0.11,32167.,3000
73,11.0,0.43,0.5390,0.1665,0.1330,0.017,0.358,0.313,12.721,0.040,1.393,11.169,0.11,32250.,3000
74,11.9,0.47,0.5646,0.1585,0.1309,0.017,0.353,0.298,12.521,0.040,1.326,10.800,0.11,32340.,3000
75,12.8,0.50,0.5875,0.1502,0.1284,0.016,0.346,0.282,12.279,0.039,1.256,10.434,0.11,32438.,3000
76,13.8,0.54,0.6075,0.1416,0.1255,0.016,0.338,0.266,12.000,0.038,1.185,10.071,0.11,32542.,3000
77,14.7,0.57,0.6246,0.1329,0.1221,0.016,0.329,0.250,11.679,0.037,1.112,9.707,0.11,32653.,3000
78,15.6,0.61,0.6393,0.1239,0.1182,0.015,0.318,0.233,11.304,0.036,1.037,9.352,0.11,32770.,3000
79,16.5,0.65,0.6541,0.1148,0.1133,0.015,0.305,0.216,10.835,0.034,0.960,9.036,0.11,32895.,3000
80,17.4,0.68,0.6664,0.1054,0.1078,0.014,0.290,0.198,10.311,0.033,0.882,8.721,0.11,33026.,3000
81,18.3,0.72,0.6754,0.0958,0.1018,0.013,0.274,0.180,9.734,0.031,0.802,8.398,0.11,33163.,3000
82,19.3,0.75,0.6808,0.0860,0.0952,0.012,0.256,0.162,9.104,0.029,0.720,8.062,0.11,33307.,3000
83,20.2,0.79,0.6817,0.0760,0.0880,0.011,0.237,0.143,8.417,0.027,0.636,7.706,0.11,33457.,3000
84,21.1,0.83,0.6770,0.0658,0.0802,0.010,0.216,0.124,7.671,0.024,0.551,7.320,0.11,33614.,3000
85,22.0,0.86,0.6647,0.0554,0.0718,0.009,0.193,0.104,6.863,0.022,0.463,6.887,0.11,33777.,3000
86,22.9,0.90,0.6402,0.0448,0.0627,0.008,0.169,0.084,5.998,0.019,0.375,6.368,0.11,33946.,3000
87,23.8,0.93,0.5948,0.0339,0.0531,0.007,0.143,0.064,5.083,0.016,0.284,5.689,0.11,34120.,3000
88,24.8,0.97,0.5118,0.0228,0.0431,0.006,0.116,0.043,4.126,0.013,0.191,4.714,0.11,34301.,3000
89,25.7,1.00,0.3541,0.0115,0.0326,0.004,0.088,0.022,3.118,0.010,0.096,3.145,0.11,34488.,3000
90,26.6,1.04,-0.0004,0.0000,0.0215,0.003,0.058,0.000,2.056,0.007,0.000,-0.003,0.11,34680.,3000
91,0.0,0.00,0.0000,0.2126,0.1164,0.035,0.558,0.711,26.395,0.063,3.163,12.219,0.14,42300.,4000
92,1.2,0.04,0.0635,0.2117,0.1195,0.036,0.573,0.708,27.099,0.065,3.149,11.848,0.14,42305.,4000
93,2.4,0.07,0.1232,0.2103,0.1225,0.037,0.587,0.703,27.779,0.066,3.129,11.485,0.14,42320.,4000
94,3.7,0.11,0.1791,0.2085,0.1253,0.038,0.600,0.697,28.408,0.068,3.102,11.134,0.14,42344.,4000
95,4.9,0.14,0.2315,0.2062,0.1278,0.039,0.612,0.689,28.971,0.069,3.067,10.794,0.14,42378.,4000
96,6.1,0.18,0.2806,0.2033,0.1299,0.040,0.622,0.680,29.457,0.070,3.023,10.466,0.14,42422.,4000
97,7.3,0.22,0.3265,0.1998,0.1317,0.040,0.631,0.668,29.855,0.071,2.972,10.150,0.14,42476.,4000
98,8.6,0.25,0.3694,0.1958,0.1331,0.040,0.638,0.655,30.171,0.072,2.912,9.841,0.14,42539.,4000
99,9.8,0.29,0.4093,0.1912,0.1341,0.041,0.642,0.639,30.396,0.073,2.844,9.541,0.14,42613.,4000
100,11.0,0.32,0.4462,0.1861,0.1347,0.041,0.645,0.622,30.525,0.073,2.768,9.245,0.14,42695.,4000
101,12.2,0.36,0.4800,0.1803,0.1348,0.041,0.646,0.603,30.559,0.073,2.682,8.951,0.14,42787.,4000
102,13.5,0.39,0.5108,0.1740,0.1344,0.041,0.644,0.582,30.468,0.073,2.588,8.660,0.14,42889.,4000
103,14.7,0.43,0.5389,0.1668,0.1332,0.041,0.638,0.558,30.204,0.072,2.481,8.375,0.14,43000.,4000
104,15.9,0.47,0.5645,0.1587,0.1311,0.040,0.628,0.531,29.729,0.071,2.361,8.099,0.14,43121.,4000
105,17.1,0.50,0.5874,0.1504,0.1286,0.039,0.616,0.503,29.157,0.070,2.237,7.825,0.14,43250.,4000
106,18.3,0.54,0.6074,0.1419,0.1257,0.038,0.602,0.474,28.492,0.068,2.110,7.552,0.14,43389.,4000
107,19.6,0.57,0.6245,0.1331,0.1223,0.037,0.586,0.445,27.729,0.066,1.980,7.280,0.15,43537.,4000
108,20.8,0.61,0.6393,0.1241,0.1184,0.036,0.567,0.415,26.841,0.064,1.846,7.013,0.15,43694.,4000
109,22.0,0.65,0.6541,0.1149,0.1135,0.034,0.544,0.384,25.724,0.061,1.710,6.777,0.15,43860.,4000
110,23.2,0.68,0.6664,0.1055,0.1080,0.033,0.517,0.353,24.475,0.058,1.570,6.541,0.15,44034.,4000
